n_features,features,condition_no,rsquared,rsquared_adj,pvals,rmse,delta_rmse
8,"['bedrooms', 'bathrooms', 'sqft_living', 'waterfront', 'view', 'grade', 'yr_built', 'lat']",154.71303272720363,0.7572629053654737,0.7571504528997128,"[3.13411506103201e-22, 8.751853991362983e-77, 0.0, 9.531991070039705e-71, 4.20279255697123e-111, 0.0, 0.0, 0.0]",0.05648402858016971,0.0011687204167904557
8,"['bathrooms', 'sqft_living', 'floors', 'view', 'grade', 'yr_built', 'lat', 'sqft_living15']",157.42608975900413,0.7574752995043024,0.7573629454345887,"[1.5021176294413514e-58, 6.165099837416362e-191, 1.0446662962107443e-25, 6.861571752842843e-156, 0.0, 0.0, 0.0, 1.3043067271728233e-84]",0.05645943796763555,0.0008800549155397464
8,"['bathrooms', 'sqft_living', 'waterfront', 'view', 'grade', 'yr_built', 'lat', 'sqft_living15']",154.78080128074552,0.7613549805452184,0.7612444238034375,"[2.9587586119170187e-81, 3.92458370828596e-193, 1.7508271938733086e-76, 3.0677828693654214e-99, 0.0, 0.0, 0.0, 1.4200523795562041e-77]",0.05600579383479888,0.0006342424751123163
9,"['bedrooms', 'bathrooms', 'sqft_living', 'waterfront', 'view', 'grade', 'yr_built', 'lat', 'sqft_living15']",181.31326432447005,0.7625311558861878,0.7624073853804372,"[1.2953235426416246e-19, 1.1131874754151238e-91, 1.1930958785123146e-205, 2.071767491291052e-73, 2.6482464177724196e-93, 0.0, 0.0, 0.0, 2.1395934772329778e-75]",0.055867614721845385,0.0006524164241193661
9,"['bathrooms', 'sqft_living', 'floors', 'waterfront', 'view', 'grade', 'yr_built', 'lat', 'sqft_living15']",157.43079541069307,0.7632160072488134,0.7630925936934354,"[3.054787290718581e-59, 5.387175823485493e-195, 1.3046224317262946e-25, 7.109646641342286e-76, 1.270973920633797e-104, 0.0, 0.0, 0.0, 3.6893703989283594e-87]",0.05578707687843587,0.0007458763456777192
10,"['bedrooms', 'bathrooms', 'sqft_living', 'sqft_lot', 'waterfront', 'view', 'grade', 'yr_built', 'lat', 'sqft_living15']",183.68930349952478,0.7637349718062503,0.7635981382537799,"[4.135609363930381e-20, 4.558506853814536e-76, 2.022538130818618e-215, 2.2944271144235737e-12, 1.172006597232605e-76, 2.136223488668226e-92, 0.0, 0.0, 0.0, 3.091413678452504e-90]",0.055725916009357467,0.0007950246191296112
10,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'waterfront', 'view', 'grade', 'yr_built', 'lat', 'sqft_living15']",183.98126729251044,0.7642742859987065,0.764137764789662,"[5.816714092072895e-18, 1.1733760408664093e-68, 5.87021838028278e-205, 5.5908163381847105e-24, 5.530376044833152e-73, 1.2999156559145327e-98, 0.0, 0.0, 0.0, 1.0014779025768371e-84]",0.055662265762292426,0.0007526442609773906
11,"['bedrooms', 'bathrooms', 'sqft_living', 'sqft_lot', 'floors', 'waterfront', 'view', 'grade', 'yr_built', 'lat', 'sqft_living15']",186.9982849178082,0.7647531557181718,0.7646032787824586,"[1.847715604315669e-18, 6.465060754977558e-63, 7.06924053396547e-208, 7.558075305985943e-06, 3.0965104944181793e-17, 3.129237872262493e-75, 7.486270104509158e-97, 0.0, 0.0, 0.0, 4.782810891369932e-92]",0.0556057343172771,0.0008210111487960983
11,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'waterfront', 'view', 'grade', 'yr_built', 'lat', 'sqft_living15', 'sqft_lot15']",185.40145196758613,0.7651370274962686,0.764987395127229,"[7.933296319563584e-19, 3.799524802750112e-61, 5.523198136358365e-214, 4.003805469711374e-15, 7.180138768486759e-77, 4.987731181030075e-96, 0.0, 0.0, 0.0, 1.0222032887692293e-96, 4.380256641455704e-12]",0.05556035748825154,0.0008251414336973795
12,"['bedrooms', 'bathrooms', 'sqft_living', 'sqft_lot', 'floors', 'waterfront', 'view', 'grade', 'yr_built', 'lat', 'sqft_living15', 'sqft_lot15']",285.52360531672605,0.7652272637483039,0.7650640817010634,"[8.79609006606104e-19, 1.7413573507392977e-61, 4.896574604913669e-205, 0.04815221889633625, 5.629317027750429e-16, 3.998046280727619e-77, 5.04561072850869e-96, 0.0, 0.0, 0.0, 4.674850959854335e-97, 1.3630371782935617e-07]",0.05554967477992993,0.0007949519992894478
12,"['bedrooms', 'bathrooms', 'sqft_living', 'waterfront', 'view', 'grade', 'sqft_above', 'sqft_basement', 'yr_built', 'lat', 'sqft_living15', 'sqft_lot15']",461.20115517141255,0.765292676700557,0.7651295401195639,"[1.3188241261018225e-19, 4.111977440513211e-67, 1.222126846513235e-17, 6.060732698733255e-79, 7.902249240148562e-93, 0.0, 4.1565264818528754e-17, 3.3080132501927775e-10, 0.0, 0.0, 1.2156250084714376e-90, 1.4915361498600895e-21]",0.05554193229563402,0.0007925539773116164
13,"['bedrooms', 'bathrooms', 'sqft_living', 'sqft_lot', 'floors', 'waterfront', 'view', 'grade', 'sqft_above', 'sqft_basement', 'yr_built', 'lat', 'sqft_living15']",476.63744538096125,0.7654356207323681,0.765258986841155,"[8.393253914243647e-18, 6.848213100972973e-57, 1.7457026838513015e-19, 2.1987142611737296e-06, 1.9836708879571287e-09, 9.09972847695147e-76, 1.7402326331511255e-92, 0.0, 7.584795841767128e-11, 7.49183437235935e-11, 0.0, 0.0, 3.932784113859868e-90]",0.055525022617550046,0.0008451098880108935
13,"['bedrooms', 'bathrooms', 'sqft_living', 'floors', 'waterfront', 'view', 'grade', 'sqft_above', 'sqft_basement', 'yr_built', 'lat', 'sqft_living15', 'sqft_lot15']",476.63621084429815,0.7658067185713572,0.765630364127642,"[3.100193399099695e-18, 1.05376122252014e-55, 8.613192266395568e-20, 1.4361937143316239e-07, 2.0797040280059536e-77, 3.80446819037365e-92, 0.0, 5.302983717621473e-11, 2.0467694082688529e-10, 0.0, 0.0, 1.9986326276395187e-94, 7.529584719595403e-13]",0.055481092220545834,0.0008422452672753406
